PROJECT,CLASS,COMPLEXITY,COUPLING
spring-roo,FinderAnnotationValues,2,4
spring-roo,FinderCommands,61,31
spring-roo,FinderFieldTokenMissingException,1,0
spring-roo,FinderMetadata,16,10
spring-roo,FinderMetadataProviderImpl,24,27
spring-roo,FinderOperationsImpl,60,29
spring-roo,InvalidFinderException,1,0
spring-roo,QueryHolder,5,3
spring-roo,ReservedToken,13,2
spring-roo,ReservedTokenHolder,5,1
spring-roo,EqualsAnnotationValues,3,4
spring-roo,EqualsCommands,6,15
spring-roo,EqualsMetadata,14,11
spring-roo,EqualsMetadataProviderImpl,19,20
spring-roo,EqualsOperationsImpl,5,14
spring-roo,ExcludeFieldsConverter,4,5
spring-roo,JavaBeanAnnotationValues,3,4
spring-roo,JavaBeanMetadata,65,17
spring-roo,JavaBeanMetadataProvider,30,22
spring-roo,SerializableMetadataProviderImpl,7,12
spring-roo,ToStringAnnotationValues,3,4
spring-roo,ToStringMetadata,29,11
spring-roo,ToStringMetadataProvider,16,19
spring-roo,SerializableMetadata,12,8
spring-roo,JavaBeanAnnotationValuesTest,2,3
spring-roo,SerializableMetadataTest,8,10
spring-roo,EmbeddableFieldCreatorProvider,203,42
spring-roo,IdentifierStrategy,1,1
spring-roo,JpaEntityAnnotationValues,16,5
spring-roo,JpaEntityMetadata,107,23
spring-roo,JpaEntityMetadataProviderImpl,20,25
spring-roo,JpaFieldCreatorProvider,206,42
spring-roo,JpaEntityAnnotationValuesTest,2,3
spring-roo,Identifier,31,3
spring-roo,IdentifierAnnotationValues,5,4
spring-roo,IdentifierMetadata,42,18
spring-roo,IdentifierMetadataProviderImpl,12,20
spring-roo,IdentifierAnnotationValuesTest,2,3
spring-roo,JpaEntityResource,25,28
spring-roo,JpaResource,44,31
spring-roo,AbstractIdentifierServiceAwareMetadataProvider,4,6
spring-roo,DatabaseDotComOperationsImpl,8,10
spring-roo,GaeOperationsImpl,8,10
spring-roo,JdbcDatabase,6,1
spring-roo,JpaCommands,106,31
spring-roo,JpaOperationsImpl,81,30
spring-roo,OrmProvider,4,1
spring-roo,JpaOperationsImplTest,6,10
spring-roo,CustomFinderMethod,8,2
spring-roo,RepositoryJpaAnnotationValues,2,5
spring-roo,RepositoryJpaCommands,46,25
spring-roo,RepositoryJpaCustomAnnotationValues,3,5
spring-roo,RepositoryJpaCustomImplAnnotationValues,2,5
spring-roo,RepositoryJpaCustomImplMetadata,41,15
spring-roo,RepositoryJpaCustomImplMetadataProviderImpl,50,35
spring-roo,RepositoryJpaCustomMetadata,22,12
spring-roo,RepositoryJpaCustomMetadataProviderImpl,35,25
spring-roo,RepositoryJpaLocatorImpl,5,8
spring-roo,RepositoryJpaMetadata,13,12
spring-roo,RepositoryJpaMetadataProviderImpl,28,23
spring-roo,RepositoryJpaOperationsImpl,63,32
spring-roo,RepositoryJpaLayerMethod,19,6
spring-roo,RepositoryJpaLayerProvider,7,16
spring-roo,RepositoryJpaAnnotationValuesTest,2,3
spring-roo,RepositoryJpaLayerProviderTest,7,11
spring-roo,RepositoryLayerMethodTest,4,4
spring-roo,ServiceAnnotationValues,2,5
spring-roo,ServiceCommands,49,25
spring-roo,ServiceImplAnnotationValues,2,5
spring-roo,ServiceImplMetadata,22,16
spring-roo,ServiceImplMetadataProviderImpl,20,26
spring-roo,ServiceMetadata,40,11
spring-roo,ServiceMetadataProviderImpl,25,28
spring-roo,ServiceOperationsImpl,26,20
spring-roo,OsCommands,4,8
spring-roo,OsOperationsImpl,4,7
spring-roo,PluralAnnotationValues,2,4
spring-roo,PluralMetadata,27,11
spring-roo,PluralMetadataProviderImpl,7,13
spring-roo,PluralAnnotationValuesTest,2,3
spring-roo,PropFileCommands,15,15
spring-roo,PropFileOperationsImpl,6,7
spring-roo,PushInCommands,30,25
spring-roo,PushInOperationsImpl,55,29
spring-roo,AuditAnnotationValues,5,4
spring-roo,AuditCommands,10,18
spring-roo,AuditMetadata,23,13
spring-roo,AuditMetadataProviderImpl,8,16
spring-roo,AuditOperationsImpl,35,25
spring-roo,SecurityCommands,7,15
spring-roo,SecurityConfigurationAnnotationValues,3,4
spring-roo,SecurityMetadata,8,10
spring-roo,SecurityMetadataProviderImpl,12,16
spring-roo,SecurityOperationsImpl,26,23
spring-roo,IntegrationTestAnnotationValues,12,5
spring-roo,IntegrationTestCommands,3,10
spring-roo,IntegrationTestMetadata,78,19
spring-roo,IntegrationTestMetadataProviderImpl,44,33
spring-roo,IntegrationTestOperationsImpl,10,20
spring-roo,IntegrationTestAnnotationValuesTest,2,3
spring-roo,UnitTestAnnotationValues,2,5
spring-roo,UnitTestCommands,4,10
spring-roo,UnitTestMetadata,20,21
spring-roo,UnitTestMetadataProviderImpl,15,21
spring-roo,UnitTestOperationsImpl,6,20
spring-roo,WebMvcConfigurationMetadata,19,12
spring-roo,WebMvcConfigurationMetadataProviderImpl,19,19
spring-roo,WebMvcJSONConfigurationMetadata,13,15
spring-roo,WebMvcJSONConfigurationMetadataProviderImpl,11,19
spring-roo,DateTimeFormatDetails,3,1
spring-roo,FinderMetadataDetails,9,3
spring-roo,JavaTypeMetadataDetails,14,3
spring-roo,JavaTypeMetadataDetailsTest,3,3
spring-roo,JavaTypePersistenceMetadataDetails,17,4
spring-roo,WebMetadataServiceImpl,90,36
spring-roo,SearchAnnotationValues,2,4
spring-roo,WebFinderCommands,66,27
spring-roo,WebFinderMetadata,38,22
spring-roo,WebFinderMetadataProviderImpl,17,23
spring-roo,WebFinderOperationsImpl,40,26
spring-roo,ControllerCommands,80,32
spring-roo,ControllerDetailInfo,14,1
spring-roo,ControllerMVCServiceImpl,35,18
spring-roo,ControllerMetadata,29,18
spring-roo,ControllerMetadataProviderImpl,45,28
spring-roo,ControllerOperationsImpl,125,38
spring-roo,DetailAnnotationValues,2,4
spring-roo,JSONMVCResponseService,26,18
spring-roo,JSONMetadata,23,8
spring-roo,JSONMetadataProviderImpl,115,41
spring-roo,WebScaffoldAnnotationValues,11,6
spring-roo,WebScaffoldAnnotationValuesTest,2,3
spring-roo,WebScaffoldMetadata,81,28
spring-roo,WebScaffoldMetadataProviderImpl,21,29
spring-roo,EmbeddedServerProvider,12,10
spring-roo,ControllerType,2,2
spring-roo,AbstractLanguage,15,1
spring-roo,I18nComponent,5,6
spring-roo,I18nConverter,6,9
spring-roo,EnglishLanguage,4,3
spring-roo,SpanishLanguage,4,3
spring-roo,I18nCommands,18,20
spring-roo,I18nOperationsImpl,56,30
spring-roo,ThymeleafMVCViewResponseService,65,26
spring-roo,ThymeleafMainControllerMetadata,8,9
spring-roo,ThymeleafMainControllerMetadataProviderImpl,23,29
spring-roo,ThymeleafMetadata,28,9
spring-roo,ThymeleafMetadataProviderImpl,180,40
spring-roo,ThymeleafViewGenerator,32,9
spring-roo,WebMvcThymeleafUIConfigurationMetadata,11,12
spring-roo,WebMvcThymeleafUIConfigurationMetadataProviderImpl,21,19
spring-roo,FieldItem,21,0
spring-roo,MenuEntry,10,0
spring-roo,AbstractViewGenerationService,106,26
spring-roo,AbstractViewGeneratorMetadataProvider,44,28
spring-roo,ViewCommands,34,23
spring-roo,ViewContext,20,0
spring-roo,ViewOperationsImpl,8,13
spring-roo,AbstractFreeMarkerViewGenerationService,13,10
spring-roo,ApplicationConfigServiceImpl,34,11
spring-roo,ApplicationConfigServiceImplTest,2,3
spring-roo,AutoProcessor,63,5
spring-roo,Main,49,6
spring-roo,CustomDataKeys,1,4
spring-roo,AnnotatedTypeMatcher,5,5
spring-roo,ConstructorMatcher,7,7
spring-roo,CustomDataKeyDecoratorImpl,20,20
spring-roo,CustomDataKeyDecoratorTracker,3,7
spring-roo,FieldMatcher,11,8
spring-roo,MethodMatcher,30,11
spring-roo,MidTypeMatcher,6,4
spring-roo,InvocableMemberMetadataCustomDataKey,6,6
spring-roo,FieldMetadataCustomDataKey,9,5
spring-roo,ConstructorMetadataCustomDataKey,4,2
spring-roo,MemberHoldingTypeDetailsCustomDataKey,4,2
spring-roo,IdentifiableJavaStructureCustomDataKey,4,2
spring-roo,IdentifiableAnnotatedJavaStructureCustomDataKey,4,3
spring-roo,MethodMetadataCustomDataKey,3,2
spring-roo,ArrayAttributeValue,3,4
spring-roo,ClassAttributeValue,3,3
spring-roo,DoubleAttributeValue,4,2
spring-roo,NestedAnnotationAttributeValue,3,3
spring-roo,AbstractAnnotationAttributeValue,15,4
spring-roo,AnnotationMetadataBuilder,32,9
spring-roo,EnumAttributeValue,4,3
spring-roo,AnnotatedJavaType,14,3
spring-roo,BooleanAttributeValue,3,2
spring-roo,CharAttributeValue,3,2
spring-roo,LongAttributeValue,3,2
spring-roo,DefaultAnnotationMetadata,9,7
spring-roo,StringAttributeValue,3,2
spring-roo,AnnotatedJavaTypeTest,2,3
spring-roo,AnnotationMetadataBuilderTest,2,3
spring-roo,BooleanAttributeValueTest,2,1
spring-roo,CharAttributeValueTest,1,1
spring-roo,IntegerAttributeValue,3,2
spring-roo,IntegerAttributeValueTest,1,1
spring-roo,LongAttributeValueTest,1,1
spring-roo,AbstractAnnotationValues,9,5
spring-roo,AutoPopulationUtils,41,15
spring-roo,AnnotationValuesTestCase,5,4
spring-roo,CommentFormatter,11,1
spring-roo,BlockComment,2,1
spring-roo,CommentStructure,12,2
spring-roo,JavadocComment,2,1
spring-roo,LineComment,2,1
spring-roo,AbstractComment,4,0
spring-roo,AnnotationMetadataUtils,30,17
spring-roo,BeanInfoUtils,20,6
spring-roo,DeclaredFieldAnnotationDetails,6,2
spring-roo,DeclaredMethodAnnotationDetails,3,2
spring-roo,DefaultInitializerMetadata,4,4
spring-roo,DefaultPhysicalTypeDetails,4,4
spring-roo,InitializerMetadataBuilder,11,5
spring-roo,MemberFindingUtils,50,14
spring-roo,AbstractMemberHoldingTypeDetails,32,11
spring-roo,FieldDetails,33,4
spring-roo,DefaultConstructorMetadata,2,8
spring-roo,ItdTypeDetailsBuilder,25,17
spring-roo,ClassOrInterfaceTypeDetailsBuilder,40,15
spring-roo,AbstractIdentifiableAnnotatedJavaStructureBuilder,30,9
spring-roo,AbstractIdentifiableAnnotatedJavaStructureProvider,8,7
spring-roo,DefaultMethodMetadata,8,8
spring-roo,ImportMetadataBuilder,15,6
spring-roo,AbstractMemberHoldingTypeDetailsBuilderTest,7,11
spring-roo,AbstractInvocableMemberMetadataBuilder,22,9
spring-roo,DefaultItdTypeDetails,28,15
spring-roo,DefaultPhysicalTypeMetadata,8,5
spring-roo,MethodMetadataBuilder,12,8
spring-roo,DefaultImportMetadata,8,8
spring-roo,DefaultClassOrInterfaceTypeDetails,34,13
spring-roo,DefaultFieldMetadata,7,8
spring-roo,AbstractMemberHoldingTypeDetailsBuilder,67,15
spring-roo,FieldMetadataBuilder,17,11
spring-roo,ConstructorMetadataBuilder,4,3
spring-roo,AbstractIdentifiableJavaStructureBuilder,6,3
spring-roo,AbstractIdentifiableJavaStructureProvider,3,3
spring-roo,AbstractInvocableMemberMetadata,9,8
spring-roo,DefaultItdTypeDetailsTest,1,8
spring-roo,DefaultPhysicalTypeMetadataTest,3,9
spring-roo,ImportMetadataBuilderTest,1,3
spring-roo,ItdTypeDetailsTestCase,1,2
spring-roo,AbstractItdMetadataProvider,72,25
spring-roo,AbstractMemberDiscoveringItdMetadataProvider,6,5
spring-roo,ItdFileDeletionService,9,6
spring-roo,ItdTriggerBasedMetadataProviderTracker,4,7
spring-roo,AbstractItdTypeDetailsProvidingMetadataItem,44,19
spring-roo,ItdSourceFileComposer,94,12
spring-roo,InvocableMemberBodyBuilder,18,1
spring-roo,FieldResource,11,18
spring-roo,CoreLayerProvider,1,1
spring-roo,LayerAdapter,5,1
spring-roo,LayerServiceImpl,9,9
spring-roo,LayerType,2,0
spring-roo,LayerTypeMatcher,7,10
spring-roo,Priority,2,0
spring-roo,MethodParameter,10,5
spring-roo,MemberTypeAdditions,18,9
spring-roo,MemberTypeAdditionsTest,5,3
spring-roo,BooleanField,8,4
spring-roo,DateField,23,7
spring-roo,EmbeddedField,2,4
spring-roo,EnumField,6,6
spring-roo,ListField,2,5
spring-roo,NumericField,16,5
spring-roo,StringField,14,5
spring-roo,StringOrNumericField,10,5
spring-roo,UploadedFileContentType,4,1
spring-roo,UploadedFileField,5,5
spring-roo,SetField,24,9
spring-roo,ReferenceField,16,8
spring-roo,CollectionField,12,5
spring-roo,AbstractOperations,9,7
spring-roo,Cardinality,1,1
spring-roo,Cascade,1,1
spring-roo,ClasspathCommands,13,14
spring-roo,DateTime,10,2
spring-roo,EnumType,1,1
spring-roo,Fetch,1,1
spring-roo,HintCommands,1,7
spring-roo,HintOperationsImpl,16,8
spring-roo,InheritanceType,1,1
spring-roo,ClasspathOperationsImpl,23,23
spring-roo,ClasspathOperationsImplTest,3,6
spring-roo,PersistenceMemberLocatorImpl,39,13
spring-roo,ApplicationModuleFeature,12,13
spring-roo,DefaultPhysicalTypeMetadataProvider,40,26
spring-roo,ItdDiscoveryServiceImpl,13,6
spring-roo,MetadataCommands,13,16
spring-roo,TypeCacheImpl,17,6
spring-roo,TypeManagementServiceImpl,8,17
spring-roo,TypeLocationServiceImpl,127,28
spring-roo,PhysicalTypeIdentifier,7,2
spring-roo,PhysicalTypeIdentifierNamingUtils,10,2
spring-roo,PhysicalTypeIdentifierNamingUtilsTest,3,3
spring-roo,PhysicalTypeIdentifierTest,1,2
spring-roo,TypeLocationServiceImplTest,3,1
spring-roo,MemberDetailsBuilder,27,18
spring-roo,MemberDetailsScannerImpl,24,17
spring-roo,MemberDetailsImpl,30,10
spring-roo,JavaParserAnnotationMetadataBuilder,65,49
spring-roo,JavaParserConstructorMetadataBuilder,24,26
spring-roo,JavaParserFieldMetadataBuilder,27,30
spring-roo,JavaParserMethodMetadataBuilder,29,28
spring-roo,JavaParserClassOrInterfaceTypeDetailsBuilder,39,42
spring-roo,JavaParserCommentMetadataBuilder,18,10
spring-roo,JavaParserTypeResolutionService,13,7
spring-roo,UpdateCompilationUnitUtils,166,38
spring-roo,JavaParserUtils,145,36
spring-roo,JavaParserTypeParsingService,55,38
spring-roo,JavaParserTypeParsingServiceTest,4,9
spring-roo,NewUpdateCompilationUnitTest,28,15
spring-roo,UpdateCompilationUnitTest,21,16
spring-roo,BigDecimalConverter,3,3
spring-roo,BigIntegerConverter,3,3
spring-roo,BooleanConverter,9,3
spring-roo,BundleSymbolicNameConverter,16,13
spring-roo,CharacterConverter,3,3
spring-roo,ConstructorFieldsConverter,4,5
spring-roo,DateConverter,6,3
spring-roo,DoubleConverter,3,3
spring-roo,FileConverter,22,3
spring-roo,FileConverterComponent,5,9
spring-roo,FloatConverter,3,3
spring-roo,HintConverter,3,7
spring-roo,IntegerConverter,3,3
spring-roo,JavaSymbolNameConverter,4,7
spring-roo,LastUsedImpl,35,15
spring-roo,LocaleConverter,5,4
spring-roo,LogicalPathConverter,4,9
spring-roo,LongConverter,3,3
spring-roo,PathConverter,6,7
spring-roo,ShortConverter,3,3
spring-roo,StringConverter,3,3
spring-roo,JavaTypeConverter,86,16
spring-roo,PomConverter,23,13
spring-roo,JavaPackageConverter,34,15
spring-roo,PackagingProviderConverterTest,12,9
spring-roo,EnumConverter,8,3
spring-roo,EnumConverterTest,4,5
spring-roo,JavaPackageConverterTest,17,11
spring-roo,JavaTypeConverterTest,18,13
spring-roo,PackagingProviderConverter,3,8
spring-roo,PomConverterTest,15,8
spring-roo,HelpCommands,10,15
spring-roo,HelpServiceImpl,71,19
spring-roo,PgpCommands,30,14
spring-roo,PgpKeyId,13,3
spring-roo,PgpKeyIdConverter,4,8
