PROJECT,CLASS,COMPLEXITY
spring-roo,ProjectMetadata,9
spring-roo,Path,14
spring-roo,DependencyType,6
spring-roo,LogicalPath,16
spring-roo,GAV,11
spring-roo,DefaultPathResolvingStrategyTest,7
spring-roo,DependencyTest,15
spring-roo,DependencyTypeTest,4
spring-roo,ExecutionTest,5
spring-roo,GAVTest,7
spring-roo,LogicalPathTest,21
spring-roo,MavenOperationsImplTest,7
spring-roo,MavenPathResolvingStrategyTest,11
spring-roo,MavenUtilsTest,4
spring-roo,PathTest,1
spring-roo,PluginTest,11
spring-roo,ProjectMetadataTest,10
spring-roo,ProjectSettingsServiceImpl,16
spring-roo,SimpleParser,274
spring-roo,AbstractShell,93
spring-roo,Completion,22
spring-roo,MethodTarget,11
spring-roo,CliOptionContext,4
spring-roo,CliOptionContextTest,3
spring-roo,MethodTargetTest,5
spring-roo,SimpleParserTest,6
spring-roo,OSGiUtils,20
spring-roo,XmlUtils,86
spring-roo,DomUtils,36
spring-roo,FileUtils,23
spring-roo,WebXmlUtils,78
spring-roo,AnsiEscapeCode,8
spring-roo,CollectionUtils,13
spring-roo,PairList,9
spring-data-book,Customer,10
spring-data-book,GemfireCustomerRepository,6
spring-data-book,Product,9
spring-data-book,Order,8
spring-data-book,Product,11
spring-data-book,ApplicationConfig,2
spring-data-book,QueryDslCustomerRepository,23
spring-data-book,Customer,9
spring-data-book,MongoDbCustomerRepository,4
spring-data-book,Product,8
spring-boot,SpringApplicationAdminMXBeanRegistrar,8
spring-boot,AnsiBackground,2
spring-boot,AnsiColor,2
spring-boot,AnsiColors,6
spring-boot,AnsiOutput,24
spring-boot,AnsiPropertySource,7
spring-boot,AnsiStyle,2
spring-boot,DefaultPropertyNamePatternsMatcher,20
spring-boot,PropertiesConfigurationFactory,45
spring-boot,PropertyNamePatternsMatcher,2
spring-boot,PropertyOrigin,3
spring-boot,PropertySourcesBinder,13
spring-boot,PropertySourcesPropertyValues,32
spring-boot,RelaxedDataBinder,89
spring-boot,RelaxedNames,9
spring-boot,RelaxedPropertyResolver,15
spring-boot,YamlConfigurationFactory,22
spring-boot,SpringApplicationBuilder,51
spring-boot,CloudFoundryVcapEnvironmentPostProcessor,25
spring-boot,CloudPlatform,6
spring-boot,AnsiOutputApplicationListener,4
spring-boot,ConfigFileApplicationListener,18
spring-boot,DelegatingApplicationContextInitializer,11
spring-boot,DelegatingApplicationListener,9
spring-boot,RandomValuePropertySource,20
spring-boot,JettyEmbeddedServletContainer,27
spring-boot,JettyEmbeddedServletContainerFactory,87
spring-boot,AnnotationConfigEmbeddedWebApplicationContext,14
spring-boot,Compression,8
spring-boot,EmbeddedWebApplicationContext,39
spring-boot,JspServlet,7
spring-boot,MimeMappings,20
spring-boot,PortInUseException,2
spring-boot,Ssl,30
spring-boot,XmlEmbeddedWebApplicationContext,10
spring-boot,TomcatEmbeddedServletContainer,46
spring-boot,TomcatEmbeddedServletContainerFactory,86
spring-boot,FileSessionPersistence,15
spring-boot,UndertowEmbeddedServletContainer,40
spring-boot,UndertowEmbeddedServletContainerFactory,89
spring-boot,ConfigurationWarningsApplicationContextInitializer,2
spring-boot,ContextIdApplicationContextInitializer,8
spring-boot,FileEncodingApplicationListener,5
spring-boot,TypeExcludeFilter,5
spring-boot,ConfigurationPropertiesBindingPostProcessor,53
spring-boot,BeanCurrentlyInCreationFailureAnalyzer,11
spring-boot,BeanNotOfRequiredTypeFailureAnalyzer,3
spring-boot,BindFailureAnalyzer,2
spring-boot,NoUniqueBeanDefinitionFailureAnalyzer,10
spring-boot,ValidationExceptionFailureAnalyzer,2
spring-boot,FailureAnalyzers,14
spring-boot,PropertiesPropertySourceLoader,4
spring-boot,PropertySourcesLoader,21
spring-boot,SpringApplicationJsonEnvironmentPostProcessor,18
spring-boot,YamlPropertySourceLoader,4
spring-boot,BuildProperties,10
spring-boot,GitProperties,15
spring-boot,InfoProperties,8
spring-boot,JsonComponentModule,14
spring-boot,JsonObjectDeserializer,15
spring-boot,JsonObjectSerializer,3
spring-boot,DatabaseDriver,18
spring-boot,BasicJsonParser,31
spring-boot,GsonJsonParser,6
spring-boot,JacksonJsonParser,4
spring-boot,JsonJsonParser,9
spring-boot,JsonSimpleJsonParser,4
spring-boot,YamlJsonParser,6
spring-boot,AtomikosConnectionFactoryBean,4
spring-boot,AtomikosDataSourceBean,4
spring-boot,AtomikosDependsOnBeanFactoryPostProcessor,12
spring-boot,AtomikosProperties,38
spring-boot,AtomikosXAConnectionFactoryWrapper,1
spring-boot,AtomikosXADataSourceWrapper,1
spring-boot,BitronixDependentBeanFactoryPostProcessor,7
spring-boot,BitronixXAConnectionFactoryWrapper,1
spring-boot,BitronixXADataSourceWrapper,1
spring-boot,PoolingConnectionFactoryBean,10
spring-boot,PoolingDataSourceBean,11
spring-boot,DataSourceXAResourceRecoveryHelper,25
spring-boot,NarayanaBeanFactoryPostProcessor,7
spring-boot,NarayanaConfigurationBean,16
spring-boot,NarayanaDataSourceBean,12
spring-boot,NarayanaRecoveryManagerBean,6
spring-boot,NarayanaXAConnectionFactoryWrapper,5
spring-boot,NarayanaXADataSourceWrapper,5
spring-boot,CommonsLoggingLiquibaseLogger,26
spring-boot,LiquibaseServiceLocatorApplicationListener,2
spring-boot,SpringPackageScanClassResolver,12
spring-boot,JavaLoggingSystem,20
spring-boot,ColorConverter,14
spring-boot,ExtendedWhitespaceThrowablePatternConverter,4
spring-boot,Log4J2LoggingSystem,37
spring-boot,WhitespaceThrowablePatternConverter,4
spring-boot,ExtendedWhitespaceThrowableProxyConverter,1
spring-boot,LevelRemappingAppender,7
spring-boot,LogbackLoggingSystem,39
spring-boot,SpringBootJoranConfigurator,2
spring-boot,WhitespaceThrowableProxyConverter,1
spring-boot,DeferredLog,24
spring-boot,LogFile,12
spring-boot,LoggerConfiguration,10
spring-boot,LoggerConfigurationComparator,4
spring-boot,LoggingApplicationListener,54
spring-boot,LoggingSystem,13
spring-boot,SpringPhysicalNamingStrategy,10
spring-boot,ApplicationHome,34
spring-boot,ApplicationPid,14
spring-boot,ApplicationTemp,15
spring-boot,BeanDefinitionLoader,46
spring-boot,DefaultApplicationArguments,7
spring-boot,ExitCodeGenerators,14
spring-boot,ImageBanner,21
spring-boot,ResourceBanner,19
spring-boot,SpringApplication,150
spring-boot,SpringBootVersion,3
spring-boot,ApplicationPidFileWriter,20
spring-boot,EmbeddedServerPortFileWriter,16
spring-boot,SystemProperties,5
spring-boot,ConcurrentReferenceCachingMetadataReaderFactory,7
spring-boot,RestTemplateBuilder,47
spring-boot,RootUriTemplateHandler,9
spring-boot,DelegatingFilterProxyRegistrationBean,6
spring-boot,ErrorPage,16
spring-boot,FilterRegistrationBean,4
spring-boot,MultipartConfigFactory,11
spring-boot,RegistrationBean,14
spring-boot,ServletComponentScanRegistrar,6
spring-boot,ServletContextInitializerBeans,28
spring-boot,ServletListenerRegistrationBean,11
spring-boot,ServletRegistrationBean,20
spring-boot,WebFilterHandler,7
spring-boot,WebListenerHandler,2
spring-boot,WebServletHandler,6
spring-boot,ErrorPageFilter,37
spring-boot,ServletContextApplicationContextInitializer,6
spring-boot,SpringBootServletInitializer,14
spring-boot,SpringProfileDocumentMatcher,15
spring-boot,SpringApplicationLauncher,6
spring-boot,ResourceMatcher,14
spring-boot,GrabCommand,1
spring-boot,Dependency,4
spring-boot,InitCommand,4
spring-boot,InitializrService,32
spring-boot,InitializrServiceMetadata,31
spring-boot,ProjectGenerationRequest,68
spring-boot,ServiceCapabilitiesReportGenerator,18
spring-boot,GroovyGrabDependencyResolver,7
spring-boot,Installer,20
spring-boot,CommandRunner,50
spring-boot,OptionParsingCommand,5
spring-boot,RunCommand,4
spring-boot,SpringApplicationRunner,14
spring-boot,EscapeAwareWhiteSpaceArgumentDelimiter,18
spring-boot,Shell,22
spring-boot,TestCommand,2
spring-boot,TestRunner,5
spring-boot,CompositeDependencyManagement,6
spring-boot,Dependency,12
spring-boot,SpringBootDependenciesDependencyManagement,3
spring-boot,AetherGrapeEngine,48
spring-boot,DependencyResolutionContext,11
spring-boot,DetailedProgressReporter,6
spring-boot,GrapeRootRepositorySystemSessionAutoConfiguration,3
spring-boot,RepositoryConfiguration,10
spring-boot,SettingsXmlRepositorySystemSessionAutoConfiguration,3
spring-boot,DependencyCustomizer,28
spring-boot,ExtendedGroovyClassLoader,19
spring-boot,GenericBomAstTransformation,18
spring-boot,RepositoryConfigurationFactory,14
spring-boot,ResolveDependencyCoordinatesTransformation,14
spring-boot,Log,4
spring-boot,ResourceUtils,16
spring-boot,GroovyTemplate,6
spring-boot,DevToolsProperties,3
spring-boot,LocalDevToolsAutoConfiguration,0
spring-boot,OptionalLiveReloadServer,7
spring-boot,RemoteDevToolsAutoConfiguration,5
spring-boot,TriggerFileFilter,2
spring-boot,ClassPathChangedEvent,3
spring-boot,ClassPathFileChangeListener,8
spring-boot,ClassPathFileSystemWatcher,7
spring-boot,PatternClassPathRestartStrategy,4
spring-boot,DevToolsHomePropertiesPostProcessor,8
spring-boot,ChangedFile,10
spring-boot,FileSnapshot,9
spring-boot,FileSystemWatcher,16
spring-boot,FolderSnapshot,25
spring-boot,Connection,19
spring-boot,ConnectionInputStream,9
spring-boot,ConnectionOutputStream,4
spring-boot,Frame,13
spring-boot,LiveReloadServer,24
spring-boot,RemoteUrlPropertyExtractor,6
spring-boot,ClassPathChangeUploader,16
spring-boot,DelayedLiveReloadTrigger,10
spring-boot,HttpHeaderInterceptor,2
spring-boot,LocalDebugPortAvailableCondition,5
spring-boot,RemoteClientConfiguration,10
spring-boot,AccessManager,1
spring-boot,Dispatcher,5
spring-boot,DispatcherFilter,8
spring-boot,HttpHeaderAccessManager,2
spring-boot,HttpStatusHandler,3
spring-boot,UrlHandlerMapper,3
spring-boot,ClassLoaderFile,7
spring-boot,ClassLoaderFiles,12
spring-boot,RestartClassLoader,31
spring-boot,ChangeableUrls,23
spring-boot,DefaultRestartInitializer,8
spring-boot,MainMethod,10
spring-boot,OnInitializedRestarterCondition,5
spring-boot,RestartApplicationListener,11
spring-boot,RestartInitializer,1
spring-boot,RestartScopeInitializer,1
spring-boot,Restarter,63
spring-boot,SilentExitExceptionHandler,17
spring-boot,DefaultSourceFolderUrlFilter,14
spring-boot,HttpRestartServer,4
spring-boot,HttpRestartServerHandler,2
spring-boot,RestartServer,21
spring-boot,DevToolsSettings,14
spring-boot,HttpTunnelConnection,8
spring-boot,TunnelClient,11
spring-boot,HttpTunnelPayload,17
spring-boot,HttpTunnelPayloadForwarder,4
spring-boot,HttpTunnelServer,10
spring-boot,HttpTunnelServerHandler,2
spring-boot,SocketTargetServerConnection,2
spring-boot,StaticPortProvider,2
spring-boot,SpringApplicationBuilderExample,1
spring-boot,TomcatLegacyCookieProcessorExample,0
spring-boot,SpockTestRestTemplateExample,0
spring-boot,HelloWebSecurityApplication,2
spring-boot,Consumer,1
spring-boot,SampleActuatorApplication,2
spring-boot,ServiceProperties,2
spring-boot,SampleActuatorLog4J2Application,1
spring-boot,SampleActuatorNoWebApplication,1
spring-boot,SampleActuatorUiApplication,4
spring-boot,Sender,1
spring-boot,SampleAntApplication,2
spring-boot,SampleAopApplication,2
spring-boot,Message,6
spring-boot,SampleAtmosphereApplication,3
spring-boot,SampleBatchApplication,5
spring-boot,Country,7
spring-boot,SampleCacheApplication,1
spring-boot,SampleCassandraApplication,2
spring-boot,SampleCouchbaseApplication,3
spring-boot,User,7
spring-boot,SampleElasticsearchApplication,5
spring-boot,SampleDataGemFireApplication,7
spring-boot,City,7
spring-boot,Hotel,6
spring-boot,SampleDataJpaApplication,1
spring-boot,SampleMongoApplication,2
spring-boot,SampleNeo4jApplication,2
spring-boot,SampleRedisApplication,3
spring-boot,SampleDataRestApplication,1
spring-boot,Product,13
spring-boot,SampleSolrApplication,2
spring-boot,SampleFlywayApplication,2
spring-boot,SampleHateoasApplication,1
spring-boot,SampleHibernate4Application,1
spring-boot,SampleHibernate52Application,1
spring-boot,SampleHypermediaApplication,1
spring-boot,SampleHypermediaGsonApplication,1
spring-boot,SampleHypermediaJpaApplication,1
spring-boot,SampleHypermediaUiApplication,1
spring-boot,SampleIntegrationApplication,6
spring-boot,Endpoint,2
spring-boot,SampleJerseyApplication,1
spring-boot,Service,1
spring-boot,SampleJersey1Application,4
spring-boot,SampleJettyApplication,1
spring-boot,SampleJettySslApplication,1
spring-boot,SampleJetty8Application,1
spring-boot,SampleJetty8SslApplication,1
spring-boot,SampleJetty92Application,1
spring-boot,SampleJooqApplication,1
spring-boot,Note,8
spring-boot,Tag,6
spring-boot,SampleJpaApplication,1
spring-boot,Account,3
spring-boot,Messages,1
spring-boot,SampleAtomikosApplication,2
spring-boot,SampleBitronixApplication,2
spring-boot,SampleNarayanaApplication,2
spring-boot,SampleLiquibaseApplication,1
spring-boot,SampleLogbackApplication,2
spring-boot,SampleDropwizardMetricsApplication,1
spring-boot,SampleOpenTsdbExportApplication,3
spring-boot,SampleRedisExportApplication,3
spring-boot,SampleProfileApplication,2
spring-boot,SamplePropertyValidationApplication,4
spring-boot,SampleSecureApplication,2
spring-boot,SampleSecureOAuth2Application,2
spring-boot,SampleSecureOAuth2ResourceApplication,2
spring-boot,SampleServletApplication,4
spring-boot,SampleSessionRedisApplication,1
spring-boot,ExitException,1
spring-boot,SampleSimpleApplication,4
spring-boot,User,5
spring-boot,SampleTestNGApplication,4
spring-boot,SampleTomcatApplication,4
spring-boot,SampleTomcatTwoConnectorsApplication,4
spring-boot,SampleTomcatSslApplication,1
spring-boot,WebConfig,4
spring-boot,SampleTraditionalApplication,1
spring-boot,SampleUndertowApplication,1
spring-boot,SampleUndertowSslApplication,1
spring-boot,SampleWebFreeMarkerApplication,1
spring-boot,MessageController,8
spring-boot,Message,8
spring-boot,SampleGroovyTemplateApplication,4
spring-boot,SampleWebJspApplication,2
spring-boot,SampleMethodSecurityApplication,2
spring-boot,SampleWebMustacheApplication,1
spring-boot,SampleWebSecureCustomApplication,4
spring-boot,SampleWebSecureJdbcApplication,4
spring-boot,SampleWebStaticApplication,2
spring-boot,SampleWebThymeleaf3Application,4
spring-boot,SampleWebUiApplication,4
spring-boot,Location,14
spring-boot,Snake,22
spring-boot,SnakeTimer,15
spring-boot,SampleSpringXmlApplication,2
spring-boot,TestTypeExcludeFilter,10
spring-boot,ConfigFileApplicationContextInitializer,2
spring-boot,ImportsContextCustomizer,13
spring-boot,ImportsContextCustomizerFactory,4
spring-boot,SpringBootConfigurationFinder,9
spring-boot,SpringBootContextLoader,23
spring-boot,SpringBootTest,0
spring-boot,SpringBootTestContextBootstrapper,47
spring-boot,BasicJsonTester,14
spring-boot,GsonTester,6
spring-boot,JacksonTester,8
spring-boot,JsonContent,5
spring-boot,JsonContentAssert,93
spring-boot,ObjectContent,5
spring-boot,ObjectContentAssert,3
spring-boot,Definition,11
spring-boot,DefinitionsParser,17
spring-boot,MockDefinition,22
spring-boot,MockReset,10
spring-boot,MockitoContextCustomizer,8
spring-boot,MockitoContextCustomizerFactory,1
spring-boot,MockitoPostProcessor,57
spring-boot,MockitoTestExecutionListener,7
spring-boot,QualifierDefinition,15
spring-boot,ResetMocksTestExecutionListener,11
spring-boot,SpyDefinition,12
spring-boot,SpringBootMockServletContext,14
spring-boot,ApplicationContextTestUtils,3
spring-boot,EnvironmentTestUtils,10
spring-boot,LocalHostUriTemplateHandler,3
spring-boot,MockServerRestTemplateCustomizer,10
spring-boot,RootUriRequestExpectationManager,16
spring-boot,TestRestTemplate,53
spring-boot,LocalHostWebClient,3
spring-boot,LocalHostWebConnectionHtmlUnitDriver,6
spring-boot,FilterAnnotations,12
spring-boot,TypeExcludeFiltersContextCustomizer,13
spring-boot,TypeExcludeFiltersContextCustomizerFactory,2
spring-boot,TestDatabaseAutoConfiguration,3
spring-boot,TestEntityManager,16
spring-boot,OverrideAutoConfigurationContextCustomizerFactory,3
spring-boot,SpringBootDependencyInjectionTestExecutionListener,3
spring-boot,AnnotationsPropertySource,40
spring-boot,PropertyMappingContextCustomizer,5
spring-boot,PropertyMappingContextCustomizerFactory,1
spring-boot,RestDocsAutoConfiguration,3
spring-boot,WebMvcTypeExcludeFilter,13
spring-boot,ConfigurationMetadataRepositoryJsonBuilder,19
spring-boot,Deprecation,5
spring-boot,DescriptionExtractor,4
spring-boot,Hints,4
spring-boot,JsonReader,27
spring-boot,Tree,2
spring-boot,ConfigurationMetadata,31
spring-boot,JsonMarshaller,49
spring-boot,ConfigurationMetadataAnnotationProcessor,79
spring-boot,BuildInfo,15
spring-boot,ExplodedArchive,16
spring-boot,JarFileArchive,24
spring-boot,ByteArrayRandomAccessData,7
spring-boot,RandomAccessDataFile,13
spring-boot,AsciiBytes,51
spring-boot,Bytes,11
spring-boot,CentralDirectoryParser,10
spring-boot,Handler,46
spring-boot,JarEntry,13
spring-boot,JarFile,58
spring-boot,JarURLConnection,53
spring-boot,LaunchedURLClassLoader,24
spring-boot,Launcher,11
spring-boot,PropertiesLauncher,83
spring-boot,WarLauncher,5
spring-boot,SystemPropertyUtils,33
spring-boot,DefaultLaunchScript,12
spring-boot,FileUtils,9
spring-boot,JvmUtils,6
spring-boot,Layouts,7
spring-boot,Libraries,1
spring-boot,MainClassFinder,30
spring-boot,Repackager,48
spring-boot,ArtifactsLibraries,13
spring-boot,DependencyFilter,7
spring-boot,ExcludeFilter,4
spring-boot,IncludeFilter,3
spring-boot,PropertiesMergingResourceTransformer,10
spring-boot,RunArguments,8
Spring-Integration-in-Action,Notification,5
Spring-Integration-in-Action,Payment,8
Spring-Integration-in-Action,Flight,15
Spring-Integration-in-Action,Profile,2
Spring-Integration-in-Action,PassengerProfileEnricher,4
Spring-Integration-in-Action,Flight,6
Spring-Integration-in-Action,FlightNotification,6
Spring-Integration-in-Action,TripNotification,3
Spring-Integration-in-Action,Leg,20
Spring-Integration-in-Action,Trip,2
Spring-Integration-in-Action,Booking,2
Spring-Integration-in-Action,Ingredient,10
Spring-Integration-in-Action,Product,3
Spring-Integration-in-Action,Recipe,13
Spring-Integration-in-Action,Meal,4
Spring-Integration-in-Action,Cook,5
Spring-Integration-in-Action,ChangeFileNameGenerator,2
Spring-Integration-in-Action,EditableText,7
spring-plugin,OrderAwarePluginRegistry,9
spring-plugin,SimplePluginRegistry,25
spring-plugin,BeanListFactoryBean,3
spring-plugin,SimplePluginMetadata,8
spring-webflow-issues,Booking,37
spring-webflow-issues,Hotel,18
spring-webflow-samples,Booking,37
spring-webflow-samples,Hotel,18
spring-webflow-samples,Booking,34
spring-webflow-samples,Booking,32
spring-flex,JsonConfigMapPropertyEditor,3
spring-flex,FlexConfigurationManager,11
spring-flex,RuntimeEnvironment,17
spring-flex,RemotingAnnotationPostProcessor,15
spring-flex,JmsMessageDestinationBeanDefinitionParser,3
spring-flex,MessageBrokerBeanDefinitionParser,71
spring-flex,IntegrationMessageDestinationBeanDefinitionParser,1
spring-flex,MessageDestinationBeanDefinitionParser,1
spring-flex,MessageInterceptors,2
spring-flex,RemotingDestinationBeanDefinitionDecorator,3
spring-flex,RemotingDestinationBeanDefinitionParser,3
spring-flex,ClassPathScanningAmfConversionServiceConfigProcessor,27
spring-flex,SpringPropertyProxy,26
spring-flex,MessageBrokerFactoryBean,43
spring-flex,ExceptionTranslationAdvice,10
spring-flex,MessageInterceptionAdvice,9
spring-flex,EndpointConfigProcessor,10
spring-flex,ManageableComponentFactoryBean,6
spring-flex,AmfView,15
spring-flex,AmfHttpMessageConverter,20
spring-flex,JmsAdapter,30
spring-flex,FlexMessageConverter,12
spring-flex,MessageTemplate,17
spring-flex,MessageDestinationFactory,33
spring-flex,MessageServiceConfigProcessor,12
spring-flex,RemotingDestinationExporter,25
spring-flex,RemotingServiceConfigProcessor,8
spring-flex,SpringSecurityLoginCommand,37
spring-flex,LoginMessageInterceptor,6
spring-flex,FlexAuthenticationEntryPoint,8
spring-flex,EndpointSecurityMetadataSource,10
spring-flex,EndpointInterceptor,13
spring-flex,SecurityExceptionTranslator,4
spring-data-jpa,QueryByExamplePredicateBuilder,22
spring-data-jpa,Jsr310JpaConverters,0
spring-data-jpa,ThreeTenBackPortJpaConverters,0
spring-data-jpa,AbstractPersistable,11
spring-data-jpa,JpaSort,18
spring-data-jpa,Specifications,7
spring-data-jpa,AuditingBeanFactoryPostProcessor,2
spring-data-jpa,AuditingEntityListener,5
spring-data-jpa,JpaMetamodelMappingContext,7
spring-data-jpa,JpaPersistentPropertyImpl,30
spring-data-jpa,PersistenceProvider,35
spring-data-jpa,JpaRepositoryExtension,9
spring-data-jpa,AuditingBeanDefinitionParser,2
spring-data-jpa,JpaAuditingRegistrar,9
spring-data-jpa,JpaRepositoriesRegistrar,2
spring-data-jpa,JpaRepositoryConfigExtension,15
spring-data-jpa,EntityGraph,0
spring-data-jpa,AbstractJpaQuery,23
spring-data-jpa,AbstractStringBasedJpaQuery,13
spring-data-jpa,ExpressionBasedStringQuery,7
spring-data-jpa,Jpa21Utils,13
spring-data-jpa,JpaEntityGraph,9
spring-data-jpa,JpaParameters,4
spring-data-jpa,JpaQueryExecution,11
spring-data-jpa,JpaQueryLookupStrategy,6
spring-data-jpa,JpaQueryMethod,39
spring-data-jpa,NamedQuery,13
spring-data-jpa,NativeJpaQuery,5
spring-data-jpa,ParameterBinder,20
spring-data-jpa,ParameterMetadataProvider,11
spring-data-jpa,PartTreeJpaQuery,6
spring-data-jpa,QueryUtils,74
